"Notes"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Fayette County, PA"	"42051"	"White"	"2106-3"	28	16098	173.9
"Total"	"Fayette County, PA"	"42051"			29	16538	175.4
	"Forest County, PA"	"42053"	"Black or African American"	"2054-5"	0	0	0.0 (Unreliable)
	"Forest County, PA"	"42053"	"White"	"2106-3"	0	554	0.0 (Unreliable)
"Total"	"Forest County, PA"	"42053"			0	554	0.0 (Unreliable)
	"Franklin County, PA"	"42055"	"Black or African American"	"2054-5"	0	329	0.0 (Unreliable)
	"Franklin County, PA"	"42055"	"White"	"2106-3"	9	14143	63.6 (Unreliable)
"Total"	"Franklin County, PA"	"42055"			9	14472	62.2 (Unreliable)
	"Fulton County, PA"	"42057"	"Black or African American"	"2054-5"	0	9	0.0 (Unreliable)
	"Fulton County, PA"	"42057"	"White"	"2106-3"	0	1629	0.0 (Unreliable)
"Total"	"Fulton County, PA"	"42057"			0	1638	0.0 (Unreliable)
	"Greene County, PA"	"42059"	"Black or African American"	"2054-5"	0	26	0.0 (Unreliable)
	"Greene County, PA"	"42059"	"White"	"2106-3"	2	4537	44.1 (Unreliable)
"Total"	"Greene County, PA"	"42059"			2	4563	43.8 (Unreliable)
	"Huntingdon County, PA"	"42061"	"Black or African American"	"2054-5"	0	469	0.0 (Unreliable)
	"Huntingdon County, PA"	"42061"	"White"	"2106-3"	2	5284	37.9 (Unreliable)
"Total"	"Huntingdon County, PA"	"42061"			2	5753	34.8 (Unreliable)
	"Indiana County, PA"	"42063"	"Black or African American"	"2054-5"	1	79	1265.8 (Unreliable)
	"Indiana County, PA"	"42063"	"White"	"2106-3"	6	9704	61.8 (Unreliable)
"Total"	"Indiana County, PA"	"42063"			7	9783	71.6 (Unreliable)
	"Jefferson County, PA"	"42065"	"Black or African American"	"2054-5"	0	7	0.0 (Unreliable)
	"Jefferson County, PA"	"42065"	"White"	"2106-3"	7	5221	134.1 (Unreliable)
"Total"	"Jefferson County, PA"	"42065"			7	5228	133.9 (Unreliable)
	"Juniata County, PA"	"42067"	"Black or African American"	"2054-5"	0	1	0.0 (Unreliable)
	"Juniata County, PA"	"42067"	"White"	"2106-3"	4	2468	162.1 (Unreliable)
"Total"	"Juniata County, PA"	"42067"			4	2469	162.0 (Unreliable)
	"Lackawanna County, PA"	"42069"	"Black or African American"	"2054-5"	1	141	709.2 (Unreliable)
	"Lackawanna County, PA"	"42069"	"White"	"2106-3"	38	23936	158.8
"Total"	"Lackawanna County, PA"	"42069"			39	24077	162.0
	"Lancaster County, PA"	"42071"	"Black or African American"	"2054-5"	2	1016	196.9 (Unreliable)
	"Lancaster County, PA"	"42071"	"White"	"2106-3"	45	46146	97.5
"Total"	"Lancaster County, PA"	"42071"			47	47162	99.7
	"Lawrence County, PA"	"42073"	"Black or African American"	"2054-5"	1	246	406.5 (Unreliable)
	"Lawrence County, PA"	"42073"	"White"	"2106-3"	15	10522	142.6 (Unreliable)
"Total"	"Lawrence County, PA"	"42073"			16	10768	148.6 (Unreliable)
	"Lebanon County, PA"	"42075"	"Black or African American"	"2054-5"	0	112	0.0 (Unreliable)
	"Lebanon County, PA"	"42075"	"White"	"2106-3"	23	13492	170.5
"Total"	"Lebanon County, PA"	"42075"			23	13604	169.1
	"Lehigh County, PA"	"42077"	"Black or African American"	"2054-5"	0	744	0.0 (Unreliable)
	"Lehigh County, PA"	"42077"	"White"	"2106-3"	34	33641	101.1
"Total"	"Lehigh County, PA"	"42077"			34	34385	98.9
	"Luzerne County, PA"	"42079"	"Black or African American"	"2054-5"	0	622	0.0 (Unreliable)
	"Luzerne County, PA"	"42079"	"White"	"2106-3"	63	36596	172.1
"Total"	"Luzerne County, PA"	"42079"			63	37218	169.3
	"Lycoming County, PA"	"42081"	"Black or African American"	"2054-5"	0	282	0.0 (Unreliable)
	"Lycoming County, PA"	"42081"	"White"	"2106-3"	21	13419	156.5
"Total"	"Lycoming County, PA"	"42081"			21	13701	153.3
	"Mc Kean County, PA"	"42083"	"Black or African American"	"2054-5"	0	131	0.0 (Unreliable)
	"Mc Kean County, PA"	"42083"	"White"	"2106-3"	8	5397	148.2 (Unreliable)
"Total"	"Mc Kean County, PA"	"42083"			8	5528	144.7 (Unreliable)
